#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
5,-9.32630479491203e-5,0.0,0.002112478374514128,(010) plane,-0.84957550637981,INS: Electron Density FOO,2.1168349868432945,0.0,0.008852643008323646
6,0.0001925129192060274,1.7255613506203975e-18,0.002103014728556296,(010) plane,-0.14168925874729751,INS: Electron Density FOO,1.5937859839085058,0.0,1.3946201382929042
7,-0.0003587163486638739,0.0,0.002103347639003713,(010) plane,-0.06878727948095989,INS: Electron Density FOO,1.4930971093080705,0.0,1.4991383049354108
8,0.001348152332451201,1.7255613506203975e-18,0.002103030492477745,(010) plane,-0.021472157608309447,INS: Electron Density FOO,1.55165743542339,0.0,1.4586760798290497
9,-0.00012847290517148169,0.0,0.002112419727132262,(010) plane,0.6057789006405243,INS: Electron Density FOO,0.0006435734690511605,0.0,2.1178380308226483
10,0.00010868029735097207,-1.7255613506203975e-18,0.0021029468433610282,(010) plane,1.2310900227147763,INS: Electron Density FOO,-1.3820580338762944,0.0,1.6040254418293742
11,-0.00018661843807914408,0.0,0.0021032258490359616,(010) plane,1.3212263017443,INS: Electron Density FOO,-1.499553530238297,0.0,1.4947845140465728
12,0.00010875001976632378,0.0,0.0021030029240020247,(010) plane,1.4017798228710998,INS: Electron Density FOO,-1.6026301808708092,0.0,1.3828319667706352
13,-1.651637816190447e-5,0.0,0.002112445196567659,(010) plane,2.1442363216254554,INS: Electron Density FOO,-2.1171954474276404,0.0,-0.005067464888639348
14,0.00010642042164847463,0.0,0.002102978907146224,(010) plane,2.8634464972555835,INS: Electron Density FOO,-1.5982773527625422,0.0,-1.387822186032273
15,-0.000220748097535626,0.0,0.0021032463510881594,(010) plane,2.949755512610591,INS: Electron Density FOO,-1.5002467546123601,0.0,-1.4940719607936315
16,0.0001439696983882464,0.0,0.00210290855850949,(010) plane,3.037806553633765,INS: Electron Density FOO,-1.3996388706501697,0.0,-1.5879491770067398
1,-9.015158562737671e-5,0.0,0.002112365986146867,(010) plane,-2.4553963342888223,INS: Electron Density FOO,8.768551241420883e-5,0.0,-2.1171759598145843
2,0.00021166635478214868,0.0,0.0021029773290031652,(010) plane,-1.7822305311509024,INS: Electron Density FOO,1.3773398075688568,0.0,-1.6080031595060853
3,-0.00030581176639379415,0.0,0.0021035064217304615,(010) plane,-1.6902546665196299,INS: Electron Density FOO,1.5017056280807335,0.0,-1.4929108471809986
4,7.469543660554195e-6,0.0,0.0021031636412957937,(010) plane,-1.5900983124465007,INS: Electron Density FOO,1.6202934634590396,0.0,-1.3605351521499913
5,-9.32630479491203e-5,0.0,0.002112478374514128,(010) plane,-0.84957550637981,INS: Electron Density FOO,2.1168349868432945,0.0,0.008852643008323646
6,0.0001925129192060274,1.7255613506203975e-18,0.002103014728556296,(010) plane,-0.14168925874729751,INS: Electron Density FOO,1.5937859839085058,0.0,1.3946201382929042
7,-0.0003587163486638739,0.0,0.002103347639003713,(010) plane,-0.06878727948095989,INS: Electron Density FOO,1.4930971093080705,0.0,1.4991383049354108
